iter	RMSE
0	74994.03513
1	70696.26487
2	66795.20922
3	63166.83064
4	59900.8755
5	56916.64568
6	54038.50653
7	51422.31185
8	49091.1835
9	47245.50453
10	45428.04814
11	43998.71178
12	42549.92905
13	41225.32295
14	40119.26114
15	38848.78269
16	37674.26981
17	36689.8925
18	35825.08044
19	34978.55289
20	34241.32498
21	33367.77632
22	32716.58769
23	32021.87079
24	31499.36508
25	31031.93397
26	30336.91807
27	29864.68266
28	29394.29134
29	28977.85686
30	28640.58934
31	28182.34129
32	27927.00135
33	27617.32517
34	27362.04904
35	27024.72164
36	26754.10296
37	26525.96133
38	26254.26252
39	26025.57083
40	25837.22069
41	25633.72552
42	25327.64267
43	25047.10495
44	24838.24428
45	24646.77217
46	24415.9866
47	24278.29255
48	24010.98677
49	23877.8979
50	23774.09111
51	23561.90938
52	23393.05529
53	23297.5949
54	23188.03988
55	23051.50265
56	22935.37195
57	22804.01507
58	22739.52229
59	22665.86663
60	22579.29315
61	22513.28392
62	22402.23785
63	22281.87354
64	22177.28006
65	22123.376
66	22092.36488
67	22017.83236
68	21877.29033
69	21750.86617
70	21617.09418
71	21554.18675
72	21488.38419
73	21344.60719
74	21234.88918
75	21144.44264
76	21049.3485
77	20866.16062
78	20802.6437
79	20756.24292
80	20633.3839
81	20569.52185
82	20470.72719
83	20438.25448
84	20358.13134
85	20335.69244
86	20311.14474
87	20249.83893
88	20224.283
89	20181.70594
90	20153.46661
91	20036.70589
92	20017.22189
93	19900.57568
94	19797.16655
95	19714.08084
96	19647.41136
97	19592.87272
98	19503.32745
99	19415.17322
100	19399.25514
101	19362.2726
102	19347.20071
103	19330.35609
104	19280.04938
105	19266.9895
106	19196.79536
107	19112.72651
108	19050.09523
109	19006.25892
110	18924.08838
111	18880.59912
112	18810.18368
113	18729.51949
114	18716.46245
115	18647.17862
116	18638.91083
117	18630.92115
118	18563.11025
119	18521.31998
120	18458.16042
121	18388.30561
122	18380.82923
123	18313.13542
124	18303.74185
125	18247.68166
126	18204.06095
127	18127.8898
128	18049.07503
129	17999.91094
130	17963.55703
131	17894.97001
132	17803.37949
133	17716.40459
134	17666.98624
135	17611.67469
136	17601.72299
137	17544.84274
138	17502.93683
139	17493.50114
140	17484.77335
141	17432.6546
142	17392.22121
143	17346.8428
144	17340.09214
145	17274.14057
146	17237.35997
147	17231.04888
148	17219.49144
149	17176.18163
150	17132.69539
151	17127.56336
152	17122.22235
153	17059.31014
154	17026.89818
155	16961.25411
156	16956.66069
157	16903.52951
158	16846.16821
159	16820.62657
160	16772.42811
161	16710.45093
162	16673.80203
163	16635.20785
164	16613.90135
165	16532.83177
166	16496.07375
167	16469.51569
168	16420.91338
169	16377.06885
170	16326.41417
171	16265.96956
172	16239.36543
173	16191.96662
174	16155.29505
