iter	Passed	Remaining
0	1	1092
1	1	936
2	2	899
3	3	874
4	4	856
5	5	851
6	5	839
7	6	827
8	7	822
9	8	813
10	8	806
11	9	802
12	10	795
13	11	790
14	11	785
15	12	781
16	13	780
17	14	777
18	15	775
19	15	771
20	16	769
21	17	767
22	17	764
23	18	762
24	19	760
25	20	758
26	21	757
27	21	756
28	22	754
29	23	752
30	24	750
31	24	749
32	25	749
33	26	748
34	27	747
35	27	745
36	28	744
37	29	742
38	30	741
39	30	739
40	31	738
41	32	737
42	33	735
43	33	734
44	34	733
45	35	732
46	36	730
47	36	729
48	37	730
49	38	729
50	39	727
51	39	726
52	40	725
53	41	724
54	42	723
55	42	721
56	43	720
57	44	720
58	45	719
59	45	719
60	46	720
61	47	721
62	48	722
63	49	725
64	50	728
65	51	730
66	52	729
67	53	728
68	53	728
69	54	727
70	55	727
71	56	726
72	57	725
73	57	725
74	58	725
75	59	725
76	60	724
77	61	724
78	62	723
79	62	722
80	63	722
81	64	722
82	65	721
83	66	721
84	67	721
85	67	721
86	68	719
87	69	719
88	70	717
89	70	717
90	71	716
91	72	715
92	73	714
93	74	714
94	74	713
95	75	713
96	76	712
97	77	711
98	78	711
99	78	710
100	79	709
101	80	709
102	82	717
103	83	721
104	85	725
105	86	727
106	87	732
107	89	736
108	91	744
109	92	747
110	93	749
111	94	751
112	96	755
113	97	760
114	99	763
115	100	767
116	102	771
117	103	775
118	105	779
119	106	783
120	108	786
121	109	789
122	111	792
123	112	795
124	114	798
125	115	800
126	116	802
127	118	805
128	119	807
129	121	810
130	122	815
131	124	819
132	126	822
133	127	824
134	128	826
135	130	829
136	131	831
137	133	833
138	134	835
139	136	837
140	137	839
141	139	840
142	140	842
143	142	844
144	143	847
145	145	849
146	146	851
147	148	852
148	149	854
149	151	856
150	152	858
151	154	859
152	155	860
153	156	862
154	158	863
155	159	864
156	161	866
157	162	867
158	164	868
159	165	869
160	167	870
161	168	872
162	170	873
163	171	874
164	172	875
165	174	876
166	175	877
167	177	878
168	178	879
169	180	880
170	181	881
171	183	883
172	184	884
173	186	885
174	187	885
175	189	884
176	190	884
177	191	884
178	192	885
179	194	886
180	195	886
181	197	887
182	198	887
183	200	888
184	201	888
185	203	890
186	204	891
187	206	891
188	208	892
189	209	893
190	211	893
191	212	894
192	214	895
193	215	895
194	217	896
195	218	896
196	220	897
197	221	898
198	223	898
199	224	898
200	226	898
201	227	899
202	229	899
203	230	900
204	232	900
205	233	900
206	234	900
207	236	900
208	237	900
209	239	900
210	240	900
211	242	902
212	244	904
213	246	905
214	248	907
215	250	907
216	251	909
217	253	910
218	255	912
219	257	912
220	259	914
221	261	916
222	263	918
223	265	920
224	267	922
225	269	924
226	271	925
227	273	927
228	275	928
229	277	929
230	279	931
231	287	952
232	290	955
233	293	961
234	305	995
235	309	1001
236	318	1023
237	321	1030
238	330	1051
239	334	1058
240	338	1065
241	342	1071
242	353	1099
243	354	1099
244	358	1105
245	361	1106
246	364	1112
247	375	1139
248	379	1143
249	382	1147
250	393	1175
251	395	1174
252	397	1173
253	399	1172
254	401	1171
255	402	1170
256	404	1168
257	405	1166
258	407	1164
259	408	1162
260	409	1160
261	411	1158
262	412	1156
263	414	1154
264	415	1152
265	417	1151
266	418	1148
267	419	1146
268	420	1144
269	422	1141
270	423	1139
271	424	1137
272	426	1134
273	427	1132
274	428	1130
275	429	1127
276	431	1125
277	432	1123
278	433	1120
279	435	1118
280	436	1116
281	437	1115
282	439	1112
283	440	1110
284	441	1108
285	443	1106
286	444	1104
287	445	1102
288	447	1099
289	448	1097
290	449	1095
291	451	1093
292	452	1092
293	453	1089
294	455	1087
295	456	1085
296	457	1082
297	458	1080
298	459	1078
299	460	1075
300	462	1073
301	463	1070
302	464	1068
303	465	1065
304	466	1063
305	467	1060
306	468	1058
307	470	1056
308	471	1053
309	472	1051
310	473	1048
311	474	1046
312	475	1044
313	476	1041
314	478	1039
315	479	1037
316	480	1034
317	481	1032
318	482	1030
319	483	1027
320	484	1025
321	485	1023
322	487	1020
323	488	1018
324	489	1016
325	490	1014
326	491	1011
327	492	1009
328	493	1007
329	495	1005
330	496	1002
331	497	1000
332	498	998
333	499	995
334	500	993
335	501	991
336	502	989
337	503	986
338	505	984
339	506	982
340	507	980
341	508	977
342	509	975
343	510	973
344	511	971
345	512	969
346	513	967
347	514	964
348	515	962
349	516	959
350	517	957
351	518	954
352	519	952
353	520	949
354	521	947
355	522	945
356	523	942
357	524	940
358	525	938
359	526	936
360	527	933
361	528	931
362	529	928
363	530	926
364	531	924
365	532	922
366	533	919
367	534	917
368	535	915
369	536	913
370	537	910
371	538	908
372	539	906
373	540	904
374	541	901
375	542	899
376	543	897
377	543	895
378	544	892
379	545	890
380	546	888
381	547	886
382	548	884
383	549	882
384	550	879
385	551	877
386	552	875
387	553	873
388	554	871
389	555	869
390	556	866
391	557	864
392	558	862
393	559	860
394	560	858
395	561	856
396	562	853
397	563	851
398	564	849
399	565	847
400	566	845
401	567	843
402	568	841
403	569	839
404	570	837
405	571	835
406	572	833
407	572	831
408	573	829
409	574	827
410	575	825
411	576	823
412	577	821
413	578	819
414	579	817
415	580	815
416	581	813
417	582	811
418	583	809
419	584	807
420	585	804
421	586	803
422	587	801
423	588	799
424	589	797
425	590	795
426	591	793
427	592	791
428	593	789
429	594	787
430	595	785
431	596	783
432	597	781
433	597	779
434	598	777
435	599	775
436	600	774
437	601	772
438	602	770
439	603	768
440	604	766
441	605	764
442	606	762
443	607	760
444	608	759
445	609	757
446	610	755
447	611	753
448	612	751
449	613	749
450	614	748
451	615	746
452	616	744
453	617	742
454	618	740
455	619	739
456	620	737
457	621	735
458	622	733
459	623	731
460	624	729
461	625	728
462	626	726
463	627	724
464	628	722
465	629	720
466	630	719
467	631	717
468	631	715
469	632	713
470	634	712
471	635	710
472	636	709
473	637	707
474	638	705
475	639	703
476	640	701
477	641	700
478	642	698
479	642	696
480	643	694
481	644	692
482	645	691
483	646	689
484	647	687
485	648	685
486	649	684
487	650	682
488	651	680
489	652	679
490	653	677
491	654	675
492	655	673
493	656	672
494	657	670
495	658	668
496	659	667
497	660	665
498	661	663
499	662	662
500	663	660
501	664	658
502	665	657
503	666	655
504	666	653
505	667	652
506	668	650
507	669	648
508	670	647
509	671	645
510	672	643
511	673	642
512	674	640
513	675	638
514	676	637
515	677	635
516	678	633
517	679	631
518	679	630
519	680	628
520	681	626
521	682	625
522	683	623
523	684	621
524	685	620
525	686	618
526	687	616
527	687	614
528	688	613
529	689	611
530	690	609
531	691	608
532	692	606
533	693	604
534	694	603
535	694	601
536	695	599
537	696	598
538	697	596
539	698	595
540	699	593
541	700	591
542	701	590
543	702	588
544	703	586
545	703	585
546	704	583
547	705	582
548	706	580
549	707	578
550	708	577
551	709	575
552	710	574
553	711	572
554	712	571
555	713	569
556	714	568
557	715	566
558	716	565
559	717	563
560	718	562
561	719	560
562	720	558
563	720	557
564	721	555
565	722	554
566	723	552
567	724	550
568	725	549
569	726	547
570	727	546
571	727	544
572	728	543
573	729	541
574	730	540
575	731	538
576	732	536
577	733	535
578	734	533
579	735	532
580	735	530
581	736	529
582	737	527
583	738	526
584	739	524
585	740	523
586	741	521
587	742	520
588	743	518
589	744	517
590	745	515
591	745	514
592	746	512
593	747	511
594	748	509
595	749	507
596	750	506
597	751	504
598	752	503
599	753	502
600	753	500
601	754	499
602	755	497
603	756	496
604	757	494
605	758	493
606	759	491
607	760	490
608	761	488
609	762	487
610	763	485
611	763	484
612	764	482
613	765	481
614	766	479
615	767	478
616	768	476
617	769	475
618	770	474
619	771	472
620	771	471
621	772	469
622	773	468
623	774	466
624	775	465
625	776	463
626	776	462
627	777	460
628	778	459
629	779	457
630	779	456
631	780	454
632	781	453
633	782	451
634	783	450
635	783	448
636	784	447
637	785	445
638	786	444
639	787	442
640	787	441
641	788	439
642	789	438
643	790	436
644	790	435
645	791	433
646	792	432
647	793	430
648	793	429
649	794	427
650	795	426
651	796	424
652	796	423
653	797	422
654	798	420
655	799	419
656	800	417
657	800	416
658	801	414
659	802	413
660	803	411
661	803	410
662	804	409
663	805	407
664	806	406
665	806	404
666	807	403
667	808	401
668	809	400
669	810	399
670	810	397
671	811	396
672	812	394
673	813	393
674	814	391
675	814	390
676	815	389
677	816	387
678	817	386
679	817	384
680	818	383
681	819	382
682	820	380
683	820	379
684	821	377
685	822	376
686	823	375
687	823	373
688	824	372
689	825	370
690	826	369
691	827	368
692	827	366
693	828	365
694	829	363
695	830	362
696	830	361
697	831	359
698	832	358
699	833	357
700	833	355
701	834	354
702	835	352
703	836	351
704	836	350
705	837	348
706	838	347
707	839	346
708	839	344
709	840	343
710	841	342
711	842	340
712	842	339
713	843	337
714	844	336
715	845	335
716	846	333
717	847	332
718	848	331
719	848	330
720	849	328
721	850	327
722	851	326
723	852	325
724	853	323
725	854	322
726	855	321
727	856	320
728	857	318
729	858	317
730	859	316
731	860	315
732	861	313
733	862	312
734	863	311
735	864	310
736	865	309
737	866	307
738	867	306
739	869	305
740	869	304
741	870	302
742	871	301
743	872	300
744	873	299
745	874	297
746	875	296
747	876	295
748	877	294
749	878	292
750	878	291
751	879	290
752	880	288
753	881	287
754	882	286
755	883	285
756	883	283
757	884	282
758	885	281
759	886	279
760	887	278
761	887	277
762	888	276
763	889	274
764	890	273
765	891	272
766	892	270
767	892	269
768	893	268
769	894	267
770	895	265
771	896	264
772	896	263
773	897	262
774	898	260
775	899	259
776	900	258
777	900	257
778	901	255
779	902	254
780	903	253
781	903	252
782	904	250
783	905	249
784	906	248
785	907	247
786	908	245
787	908	244
788	909	243
789	910	242
790	911	240
791	911	239
792	912	238
793	913	236
794	914	235
795	914	234
796	915	233
797	916	231
798	917	230
799	917	229
800	918	228
801	919	226
802	920	225
803	920	224
804	921	223
805	922	221
806	923	220
807	923	219
808	924	218
809	925	217
810	926	215
811	926	214
812	927	213
813	928	212
814	929	210
815	929	209
816	930	208
817	931	207
818	931	205
819	932	204
820	933	203
821	934	202
822	935	201
823	935	199
824	936	198
825	937	197
826	938	196
827	938	195
828	939	193
829	940	192
830	941	191
831	941	190
832	942	188
833	943	187
834	944	186
835	944	185
836	945	184
837	946	182
838	947	181
839	947	180
840	948	179
841	949	178
842	950	176
843	950	175
844	951	174
845	952	173
846	953	172
847	953	170
848	954	169
849	955	168
850	956	167
851	957	166
852	957	165
853	958	163
854	959	162
855	960	161
856	960	160
857	961	159
858	962	157
859	963	156
860	963	155
861	964	154
862	965	153
863	966	152
864	966	150
865	967	149
866	968	148
867	969	147
868	969	146
869	970	145
870	971	143
871	971	142
872	972	141
873	973	140
874	974	139
875	975	138
876	975	136
877	976	135
878	977	134
879	978	133
880	978	132
881	979	131
882	980	129
883	981	128
884	981	127
885	982	126
886	983	125
887	984	124
888	984	122
889	985	121
890	986	120
891	987	119
892	987	118
893	988	117
894	989	116
895	990	114
896	990	113
897	991	112
898	992	111
899	993	110
900	993	109
901	994	108
902	995	106
903	996	105
904	996	104
905	997	103
906	998	102
907	999	101
908	999	100
909	1000	98
910	1001	97
911	1002	96
912	1002	95
913	1003	94
914	1004	93
915	1005	92
916	1005	91
917	1006	89
918	1007	88
919	1008	87
920	1008	86
921	1009	85
922	1010	84
923	1011	83
924	1011	82
925	1012	80
926	1013	79
927	1014	78
928	1014	77
929	1015	76
930	1016	75
931	1017	74
932	1017	73
933	1018	71
934	1019	70
935	1020	69
936	1020	68
937	1021	67
938	1022	66
939	1023	65
940	1023	64
941	1024	63
942	1025	61
943	1026	60
944	1027	59
945	1027	58
946	1028	57
947	1029	56
948	1030	55
949	1030	54
950	1031	53
951	1032	52
952	1033	50
953	1033	49
954	1034	48
955	1035	47
956	1036	46
957	1036	45
958	1037	44
959	1038	43
960	1039	42
961	1040	41
962	1040	39
963	1041	38
964	1042	37
965	1043	36
966	1043	35
967	1044	34
968	1045	33
969	1046	32
970	1046	31
971	1047	30
972	1048	29
973	1049	28
974	1050	26
975	1050	25
976	1051	24
977	1052	23
978	1053	22
979	1054	21
980	1054	20
981	1055	19
982	1056	18
983	1057	17
984	1057	16
985	1058	15
986	1059	13
987	1060	12
988	1060	11
989	1061	10
990	1062	9
991	1063	8
992	1063	7
993	1064	6
994	1065	5
995	1066	4
996	1066	3
997	1067	2
998	1068	1
999	1069	0
